Urb	Comp	Child	Day	pAge	SEC	Ncar	Gend	Driver	wstat	Pwstat	Xdag	Xn-dag	Xarb	Xpop	Ddag	Dn-dag	Darb	Dpop	Empty	Empty	Duration	Ratio	Durbreak
4	3	2	0	1	2	1	1	1	2	1	0	0	0	0	5	5	5	5	0	0	3	4	25
3	3	0	0	1	3	2	0	1	1	2	1	0	0	1	4	3	3	4	0	0	3	4	80
0	3	0	0	2	2	1	1	0	1	2	5	5	4	5	2	1	0	0	0	0	0	2	190
2	2	3	0	1	2	1	1	1	2	0	5	4	4	4	3	3	3	0	0	0	1	1	140
4	3	0	0	1	1	1	0	1	1	2	0	0	0	0	5	5	5	5	0	0	0	3	26
4	2	0	0	1	2	2	1	1	2	0	0	0	0	0	5	5	5	5	0	0	0	0	30
4	3	0	0	1	3	1	0	1	1	2	0	0	0	0	5	5	5	5	0	0	1	2	30
1	3	1	0	1	3	2	1	1	2	1	4	4	4	4	3	3	3	4	0	0	2	3	150
2	3	2	0	1	2	2	1	1	2	1	0	0	0	0	5	5	5	5	0	0	1	1	60
4	2	0	0	2	2	2	1	1	2	0	1	0	0	0	5	5	5	5	0	0	2	3	55
2	3	0	0	1	3	2	1	1	2	1	3	3	3	4	2	2	2	3	0	0	2	3	85
4	1	0	0	1	0	1	1	1	1	0	0	0	0	0	5	5	5	5	0	0	1	1	250
3	3	0	0	2	3	1	0	1	1	2	4	4	2	2	2	2	2	1	0	0	1	2	105
4	2	0	0	1	2	1	1	1	2	0	0	0	0	0	5	5	5	5	0	0	2	0	20
2	1	0	0	1	0	1	0	1	2	0	1	0	0	2	4	5	3	4	0	0	3	1	38
2	1	0	0	1	3	1	1	1	2	0	3	3	2	2	4	3	3	3	0	0	3	1	60
1	3	1	0	1	2	1	1	1	1	1	3	4	1	1	4	4	4	5	0	0	2	2	12
0	3	0	0	1	3	1	0	1	2	2	4	4	4	5	0	0	0	0	0	0	2	3	100
0	3	0	0	0	3	1	0	1	2	2	5	5	5	5	2	1	0	0	0	0	1	0	140
2	3	0	0	0	3	1	1	1	2	1	4	4	4	2	4	4	0	4	0	0	3	2	30
3	3	0	0	0	2	2	1	1	2	2	1	0	0	1	0	5	5	4	0	0	2	1	31
3	3	0	0	0	2	2	0	1	2	2	1	0	0	1	0	5	5	4	0	0	2	3	31
3	3	2	0	1	3	1	1	1	2	1	3	1	0	2	0	0	5	1	0	0	1	1	75
3	3	2	0	1	2	1	1	1	2	1	0	0	0	0	5	5	5	5	0	0	3	2	45
3	3	3	0	1	1	2	0	1	1	2	1	0	0	0	0	5	5	0	0	0	0	0	10
2	2	1	0	1	1	1	1	1	2	0	1	1	2	1	4	5	3	3	0	0	2	2	20
1	1	0	0	0	3	1	1	1	2	1	5	4	4	4	4	3	2	1	0	0	2	2	150
3	2	2	0	1	3	2	1	1	2	0	1	2	1	1	4	4	3	4	0	0	3	2	53
3	3	0	0	1	3	1	1	1	2	1	3	3	1	1	1	1	1	2	0	0	2	1	70
4	3	0	0	0	3	2	1	1	2	2	0	0	0	0	5	5	5	5	0	0	4	1	50
3	1	0	0	1	2	1	0	1	2	2	0	0	0	0	5	5	5	5	0	0	1	1	20
1	1	0	0	1	1	0	0	1	2	0	5	4	4	4	0	1	1	1	0	0	2	1	25
3	2	1	0	0	1	1	0	0	1	0	0	0	0	0	5	5	5	5	0	0	1	2	25
3	3	0	0	2	3	2	0	1	1	2	0	2	2	1	5	5	5	5	0	0	2	2	60
2	4	0	0	4	0	1	1	1	0	0	2	1	0	1	0	0	2	4	0	0	1	3	91
4	2	2	1	1	1	2	0	1	0	2	1	0	0	0	5	4	5	5	0	0	1	2	50
4	1	0	1	1	3	1	1	1	2	2	0	0	0	0	5	5	5	5	0	0	4	4	90
1	3	0	1	0	3	1	1	1	2	2	5	5	4	5	0	1	2	3	0	0	2	1	30
1	3	0	1	1	3	1	0	1	2	2	5	4	4	4	3	3	3	1	0	0	3	1	35
3	3	0	1	0	2	1	1	1	2	1	2	1	1	1	3	2	2	4	0	0	1	0	190
3	2	0	1	2	1	1	1	1	2	0	4	4	4	3	0	0	0	4	0	0	2	2	50
4	3	1	1	1	1	2	1	1	2	1	0	0	0	0	5	5	5	5	0	0	1	4	30
3	2	0	1	2	3	2	1	1	2	0	4	4	2	2	0	1	1	4	0	0	2	2	50
1	2	1	1	1	3	2	1	1	2	0	5	4	4	4	3	3	0	4	0	0	2	0	195
0	1	0	1	0	2	1	1	1	2	0	0	0	2	0	5	4	2	3	0	0	2	1	22
2	2	0	1	2	3	1	1	1	2	0	1	4	3	2	3	5	3	0	0	0	1	0	30
2	3	0	1	0	1	2	1	1	2	2	3	4	4	2	3	2	0	2	0	0	2	2	60
2	1	0	1	0	1	1	1	1	2	1	3	1	1	3	4	3	3	0	0	0	2	2	60
