Urb	Comp	Child	Day	pAge	SEC	Ncar	Gend	Driver	wstat	Pwstat	Xdag	Xn-dag	Xarb	Xpop	Ddag	Dn-dag	Darb	Dpop	Empty	Empty	Duration	Ratio	
3	3	1	0	0	1	2	1	1	2	1	0	0	0	0	5	5	5	5	0	0	1	58
4	2	0	0	1	2	1	1	1	2	0	0	0	0	0	5	5	5	5	0	0	4	55
3	2	0	0	2	1	1	1	1	2	0	1	0	0	0	0	5	5	5	0	0	2	56
4	3	2	0	1	2	1	1	1	2	1	0	0	0	0	5	5	5	5	0	0	3	77
3	3	0	0	1	3	2	0	1	1	2	1	0	0	1	4	3	3	4	0	0	3	79
0	3	0	0	2	2	1	1	0	1	2	5	5	4	5	2	1	0	0	0	0	0	52
2	2	3	0	1	2	1	1	1	2	0	5	4	4	4	3	3	3	0	0	0	1	43
4	3	0	0	1	1	1	0	1	1	2	0	0	0	0	5	5	5	5	0	0	0	56
4	2	0	0	1	2	2	1	1	2	0	0	0	0	0	5	5	5	5	0	0	0	18
4	3	0	0	1	3	1	0	1	1	2	0	0	0	0	5	5	5	5	0	0	1	55
1	3	1	0	1	3	2	1	1	2	1	4	4	4	4	3	3	3	4	0	0	2	65
2	3	2	0	1	2	2	1	1	2	1	0	0	0	0	5	5	5	5	0	0	1	37
4	2	0	0	2	2	2	1	1	2	0	1	0	0	0	5	5	5	5	0	0	2	59
2	3	0	0	1	3	2	1	1	2	1	3	3	3	4	2	2	2	3	0	0	2	56
4	1	0	0	1	0	1	1	1	1	0	0	0	0	0	5	5	5	5	0	0	1	43
3	3	0	0	2	3	1	0	1	1	2	4	4	2	2	2	2	2	1	0	0	1	55
4	2	0	0	1	2	1	1	1	2	0	0	0	0	0	5	5	5	5	0	0	2	18
2	1	0	0	1	0	1	0	1	2	0	1	0	0	2	4	5	3	4	0	0	3	48
2	1	0	0	1	3	1	1	1	2	0	3	3	2	2	4	3	3	3	0	0	3	44
1	3	1	0	1	2	1	1	1	1	1	3	4	1	1	4	4	4	5	0	0	2	50
0	3	0	0	1	3	1	0	1	2	2	4	4	4	5	0	0	0	0	0	0	2	64
0	3	0	0	0	3	1	0	1	2	2	5	5	5	5	2	1	0	0	0	0	1	31
2	3	0	0	0	3	1	1	1	2	1	4	4	4	2	4	4	0	4	0	0	3	55
3	3	0	0	0	2	2	1	1	2	2	1	0	0	1	0	5	5	4	0	0	2	44
3	3	0	0	0	2	2	0	1	2	2	1	0	0	1	0	5	5	4	0	0	2	56
3	3	2	0	1	3	1	1	1	2	1	3	1	0	2	0	0	5	1	0	0	1	46
3	3	2	0	1	2	1	1	1	2	1	0	0	0	0	5	5	5	5	0	0	3	51
3	3	3	0	1	1	2	0	1	1	2	1	0	0	0	0	5	5	0	0	0	0	17
2	2	1	0	1	1	1	1	1	2	0	1	1	2	1	4	5	3	3	0	0	2	50
1	1	0	0	0	3	1	1	1	2	1	5	4	4	4	4	3	2	1	0	0	2	55
3	2	2	0	1	3	2	1	1	2	0	1	2	1	1	4	4	3	4	0	0	3	51
3	3	0	0	1	3	1	1	1	2	1	3	3	1	1	1	1	1	2	0	0	2	46
4	3	0	0	0	3	2	1	1	2	2	0	0	0	0	5	5	5	5	0	0	4	45
3	1	0	0	1	2	1	0	1	2	2	0	0	0	0	5	5	5	5	0	0	1	43
1	1	0	0	1	1	0	0	1	2	0	5	4	4	4	0	1	1	1	0	0	2	47
3	2	1	0	0	1	1	0	0	1	0	0	0	0	0	5	5	5	5	0	0	1	51
3	3	0	0	2	3	2	0	1	1	2	0	2	2	1	5	5	5	5	0	0	2	49
2	4	0	0	4	0	1	1	1	0	0	2	1	0	1	0	0	2	4	0	0	1	67
4	2	2	1	1	1	2	0	1	0	2	1	0	0	0	5	4	5	5	0	0	1	54
4	1	0	1	1	3	1	1	1	2	2	0	0	0	0	5	5	5	5	0	0	4	76
1	3	0	1	0	3	1	1	1	2	2	5	5	4	5	0	1	2	3	0	0	2	43
1	3	0	1	1	3	1	0	1	2	2	5	4	4	4	3	3	3	1	0	0	3	46
3	3	0	1	0	2	1	1	1	2	1	2	1	1	1	3	2	2	4	0	0	1	29
3	2	0	1	2	1	1	1	1	2	0	4	4	4	3	0	0	0	4	0	0	2	55
4	3	1	1	1	1	2	1	1	2	1	0	0	0	0	5	5	5	5	0	0	1	76
3	2	0	1	2	3	2	1	1	2	0	4	4	2	2	0	1	1	4	0	0	2	53
1	2	1	1	1	3	2	1	1	2	0	5	4	4	4	3	3	0	4	0	0	2	25
0	1	0	1	0	2	1	1	1	2	0	0	0	2	0	5	4	2	3	0	0	2	41
2	2	0	1	2	3	1	1	1	2	0	1	4	3	2	3	5	3	0	0	0	1	31
2	3	0	1	0	1	2	1	1	2	2	3	4	4	2	3	2	0	2	0	0	2	50
2	1	0	1	0	1	1	1	1	2	1	3	1	1	3	4	3	3	0	0	0	2	54
3	2	0	1	2	3	1	1	1	2	0	1	0	0	1	5	0	5	2	0	0	2	69
0	2	0	1	1	1	2	1	1	2	0	4	4	4	5	0	3	3	0	0	0	2	80
3	3	1	1	1	1	2	1	1	2	1	1	0	0	0	5	5	5	5	0	0	2	22
4	3	0	1	2	2	1	1	1	2	2	0	0	0	0	5	5	5	5	0	0	0	83
4	3	0	1	1	2	1	0	1	2	2	0	0	0	0	5	5	5	5	0	0	4	70
0	3	3	1	1	1	1	0	1	2	2	5	4	4	4	0	0	2	0	0	0	2	53
0	3	3	1	1	1	1	1	1	2	2	5	4	4	4	0	0	2	0	0	0	2	53
4	3	0	1	1	3	2	0	1	2	2	0	0	0	0	5	5	5	5	0	0	1	48
1	4	0	1	3	1	1	1	1	0	0	5	4	4	2	0	0	2	4	0	0	1	47
0	3	1	1	1	3	1	1	1	2	1	5	5	5	5	0	0	0	0	0	0	3	33
2	3	2	1	1	3	1	0	1	1	2	1	4	4	2	5	0	0	4	0	0	1	50
1	3	2	1	1	2	1	1	1	2	1	4	1	4	5	3	3	3	0	0	0	1	42
